
===== sniffer session 2026-09-25 02:06:22.142324 =====
[connected rc=Success] subscribed #
02:06:25.458 | Setting/Control | {"Action":"HDR_STATUS_CHANGE","HDRSwitch":"1"}
02:06:25.460 | Setting/Control | {"Action":"TOUCHPAD_LED_ON"}
02:06:25.460 | Languages/Control | {"Action":"GET"}
02:06:25.502 | Languages/Info | {"LanguageList":"en-us,zh-cn","Language":"zh-cn"}
02:06:25.512 | Settings/DeviceSwitchItemStatus | {"WIFIEnable":true,"BTEnable":true,"WebCamEnable":true,"TochpadEnable":true,"ScreenBrightness":80}
02:06:25.528 | OSDTpDectect/Language | {"OSDTpString":"Touchpad On,Touchpad Off"}
02:06:28.146 | Fan/Control | {"Action":"GETSTATUS"}
02:06:28.200 | Fan/Status | {"IsAC":true,"OverClockingSwitch":"0","OperatingMode":"3","GamingProfileIndex":"0","OfficeProfileIndex":"0","TurboProfileIndex":"0","CustomProfileIndex":"0","FanBoostEnable":"0","ProfileName":"Mode4_Profile1","FAN_FanSwitchSpeedEnabled":"0","FAN_FanSwitchSpeed":"300","FAN_TableName":"M4T1","FAN_SafetyProtectNotify":"0","FAN_SafetyProtect":"0","CPU_PL1":"75","CPU_PL1Maximum":"145","CPU_PL1Minimum":"10","CPU_PL2":"85","CPU_PL2Maximum":"145","CPU_PL2Minimum":"10","CPU_PL4":"85","CPU_PL4Maximum":"174","CPU_PL4Minimum":"10","CPU_OffsetCoreVoltage":"0","CPU_OffsetCoreVoltageOC":"0","CPU_OffsetCoreVoltageMaximum":"0","CPU_OffsetCoreVoltageMinimum":"0","CPU_OffsetCoreVoltageSupport":"255","CPU_TccOffsetSwitch":"1","CPU_TccOffsetMaximum":"98","CPU_TccOffset":"95","GPU_CoreClockOffset":"0","GPU_CoreClockOffsetOC":"0","GPU_CoreClockOffsetMaximum":"250","GPU_CoreClockOffsetMaximumHWOC":"250","GPU_CoreClockOffsetMinimum":"0","GPU_MemoryClockOffset":"0","GPU_MemoryClockOffsetOC":"0","GPU_MemoryClockOffsetMaximum":"1000","GPU_MemoryClockOffsetMaximumHWOC":"1800","GPU_MemoryClockOffsetMinimum":"-1000","GPU_MemoryClockOffsetMinimumHWOC":"-1800","GPU_TargetTemperature":"87","GPU_TargetTemperatureMax...<truncated>
02:06:31.146 | Fan/Control | {"Action":"GETSTATUS"}
02:06:31.207 | Fan/Status | {"IsAC":true,"OverClockingSwitch":"0","OperatingMode":"3","GamingProfileIndex":"0","OfficeProfileIndex":"0","TurboProfileIndex":"0","CustomProfileIndex":"0","FanBoostEnable":"0","ProfileName":"Mode4_Profile1","FAN_FanSwitchSpeedEnabled":"0","FAN_FanSwitchSpeed":"300","FAN_TableName":"M4T1","FAN_SafetyProtectNotify":"0","FAN_SafetyProtect":"0","CPU_PL1":"75","CPU_PL1Maximum":"145","CPU_PL1Minimum":"10","CPU_PL2":"85","CPU_PL2Maximum":"145","CPU_PL2Minimum":"10","CPU_PL4":"85","CPU_PL4Maximum":"174","CPU_PL4Minimum":"10","CPU_OffsetCoreVoltage":"0","CPU_OffsetCoreVoltageOC":"0","CPU_OffsetCoreVoltageMaximum":"0","CPU_OffsetCoreVoltageMinimum":"0","CPU_OffsetCoreVoltageSupport":"255","CPU_TccOffsetSwitch":"1","CPU_TccOffsetMaximum":"98","CPU_TccOffset":"95","GPU_CoreClockOffset":"0","GPU_CoreClockOffsetOC":"0","GPU_CoreClockOffsetMaximum":"250","GPU_CoreClockOffsetMaximumHWOC":"250","GPU_CoreClockOffsetMinimum":"0","GPU_MemoryClockOffset":"0","GPU_MemoryClockOffsetOC":"0","GPU_MemoryClockOffsetMaximum":"1000","GPU_MemoryClockOffsetMaximumHWOC":"1800","GPU_MemoryClockOffsetMinimum":"-1000","GPU_MemoryClockOffsetMinimumHWOC":"-1800","GPU_TargetTemperature":"87","GPU_TargetTemperatureMax...<truncated>
02:06:34.147 | Fan/Control | {"Action":"GETSTATUS"}
02:06:34.195 | Fan/Status | {"IsAC":true,"OverClockingSwitch":"0","OperatingMode":"3","GamingProfileIndex":"0","OfficeProfileIndex":"0","TurboProfileIndex":"0","CustomProfileIndex":"0","FanBoostEnable":"0","ProfileName":"Mode4_Profile1","FAN_FanSwitchSpeedEnabled":"0","FAN_FanSwitchSpeed":"300","FAN_TableName":"M4T1","FAN_SafetyProtectNotify":"0","FAN_SafetyProtect":"0","CPU_PL1":"75","CPU_PL1Maximum":"145","CPU_PL1Minimum":"10","CPU_PL2":"85","CPU_PL2Maximum":"145","CPU_PL2Minimum":"10","CPU_PL4":"85","CPU_PL4Maximum":"174","CPU_PL4Minimum":"10","CPU_OffsetCoreVoltage":"0","CPU_OffsetCoreVoltageOC":"0","CPU_OffsetCoreVoltageMaximum":"0","CPU_OffsetCoreVoltageMinimum":"0","CPU_OffsetCoreVoltageSupport":"255","CPU_TccOffsetSwitch":"1","CPU_TccOffsetMaximum":"98","CPU_TccOffset":"95","GPU_CoreClockOffset":"0","GPU_CoreClockOffsetOC":"0","GPU_CoreClockOffsetMaximum":"250","GPU_CoreClockOffsetMaximumHWOC":"250","GPU_CoreClockOffsetMinimum":"0","GPU_MemoryClockOffset":"0","GPU_MemoryClockOffsetOC":"0","GPU_MemoryClockOffsetMaximum":"1000","GPU_MemoryClockOffsetMaximumHWOC":"1800","GPU_MemoryClockOffsetMinimum":"-1000","GPU_MemoryClockOffsetMinimumHWOC":"-1800","GPU_TargetTemperature":"87","GPU_TargetTemperatureMax...<truncated>
02:06:37.148 | Fan/Control | {"Action":"GETSTATUS"}
02:06:37.194 | Fan/Status | {"IsAC":true,"OverClockingSwitch":"0","OperatingMode":"3","GamingProfileIndex":"0","OfficeProfileIndex":"0","TurboProfileIndex":"0","CustomProfileIndex":"0","FanBoostEnable":"0","ProfileName":"Mode4_Profile1","FAN_FanSwitchSpeedEnabled":"0","FAN_FanSwitchSpeed":"300","FAN_TableName":"M4T1","FAN_SafetyProtectNotify":"0","FAN_SafetyProtect":"0","CPU_PL1":"75","CPU_PL1Maximum":"145","CPU_PL1Minimum":"10","CPU_PL2":"85","CPU_PL2Maximum":"145","CPU_PL2Minimum":"10","CPU_PL4":"85","CPU_PL4Maximum":"174","CPU_PL4Minimum":"10","CPU_OffsetCoreVoltage":"0","CPU_OffsetCoreVoltageOC":"0","CPU_OffsetCoreVoltageMaximum":"0","CPU_OffsetCoreVoltageMinimum":"0","CPU_OffsetCoreVoltageSupport":"255","CPU_TccOffsetSwitch":"1","CPU_TccOffsetMaximum":"98","CPU_TccOffset":"95","GPU_CoreClockOffset":"0","GPU_CoreClockOffsetOC":"0","GPU_CoreClockOffsetMaximum":"250","GPU_CoreClockOffsetMaximumHWOC":"250","GPU_CoreClockOffsetMinimum":"0","GPU_MemoryClockOffset":"0","GPU_MemoryClockOffsetOC":"0","GPU_MemoryClockOffsetMaximum":"1000","GPU_MemoryClockOffsetMaximumHWOC":"1800","GPU_MemoryClockOffsetMinimum":"-1000","GPU_MemoryClockOffsetMinimumHWOC":"-1800","GPU_TargetTemperature":"87","GPU_TargetTemperatureMax...<truncated>
02:06:40.148 | Fan/Control | {"Action":"GETSTATUS"}
